order_id,value_rs,route_id,delivery_time
1,2594,7,02:07
2,1835,6,01:19
3,766,9,01:06
4,572,1,02:02
5,826,3,00:35
6,2642,2,01:02
7,1763,10,01:47
8,2367,5,01:00
9,247,2,01:12
10,1292,6,01:12
11,1402,7,01:40
12,2058,1,02:11
13,2250,3,00:40
14,635,5,01:05
15,2279,10,01:30
16,826,6,01:15
17,2409,9,00:35
18,2653,6,01:36
19,279,2,01:01
20,1459,4,00:53
21,1186,10,01:23
22,550,8,01:10
23,2381,3,00:16
24,2902,8,01:41
25,876,5,00:58
26,2684,7,01:43
27,2408,4,01:09
28,1834,6,01:33
29,2319,8,01:13
30,1215,4,00:54
31,1584,1,02:32
32,2468,4,01:27
33,1102,1,01:59
34,2784,1,02:09
35,476,1,02:16
36,490,9,00:50
37,1340,8,01:19
38,2408,3,00:44
39,2560,8,01:21
40,2137,7,01:42
41,586,2,01:05
42,1651,7,01:56
43,2112,1,02:01
44,448,7,01:51
45,647,4,01:02
46,979,9,01:03
47,774,7,01:41
48,1340,8,01:21
49,508,8,01:41
50,601,1,02:29
